YTID,debut,fin,label1,label2,label3,label4
7Cv7C_6KxEs,30,40,stream,,,
aDofvBPJJFo,70,80,speech,waterfall,stream,
DWmLuZ5s3KQ,30,40,wave,waterfall,,
i4eFb5Z0wis,30,40,waterfall,,,
36ac6OBbdZM,0,10,rain,orage,orage,
rG3bZ91UFq4,70,80,rain,orage,orage,rain
wDKWdZfgT1E,20,30,rain,orage,,
9R65rxs492w,130,140,,speech,stream,
6QmXVgqNchI,12,22,stream,,,
bYsgP76HUyA,200,210,rain,rain,,
IXXCBN0U2Dg,80,90,,stream,,
YTwbx8qv8EA,50,60,waterfall,,,
OqljMdnL4TI,0,10,waterfall,stream,,
0nefgrVV75k,3,13,speech,stream,,
YEE_8ky5egM,50,60,rain,rain,,
pOMFhtRo_gU,30,40,rain,orage,,
41QL3S3DWbE,30,40,stream,,,
50WuEAFoD6o,23,33,speech,stream,,
4xRMZyo4sQI,30,40,speech,waterfall,,
iqzl2YodMVk,20,30,stream,,,
cd_FOIq7MQ0,20,30,speech,waterfall,,
MNgWQJ8Ugmk,10,20,ecoulement,stream,,
9PwF2y-lReQ,30,40,ecoulement,speech,,stream
qz-8q8Oz2xU,10,20,waterfall,stream,,
D3wNGwvoWAI,30,40,stream,,,
kDFe8CZMk3c,80,90,rain,rain,orage,orage
1w6Nf40yZLc,30,40,speech,waterfall,,
-B8ZLJSiDa0,0,10,rain,rain,,
vqsYHvWfJNo,0,10,,rain,vehicule,car
YkSnTD1PH5A,30,40,waterfall,,,
hyyYs9hWJ0o,0,10,ecoulement,stream,,
Z7exEhWUWGs,480,490,stream,,,
2Npm2u2bb_8,30,40,speech,stream,,
1vOU8_NI8l0,30,40,ecoulement,stream,,
D0_J8kt-mto,0,10,waterfall,,,
FOY2xjkeUrc,390,400,stream,,,
iBUzNiwlkss,30,40,rain,,,
0IBFokh7zKA,30,40,rain,,,
2sLJX8eARLI,23,33,boat,vehicule,speech,stream
QMbUySfRtTQ,20,30,rain,,,
rU3TzzR8nTM,30,40,speech,waterfall,,
4Ay81L06nD8,30,40,speech,stream,,
HhXk6waO5K0,350,360,rain,waterfall,,
xhlK8Rgfp54,60,70,rain,orage,orage,rain
4CyoAzj-DCQ,30,40,stream,,,
2FUdI-OpsQ0,30,40,,speech,stream,
5RMbjzZGNsA,290,300,rain,orage,orage,
8ougd5-gJck,30,40,rain,rain,,
6rnPpt4s7lQ,30,40,rain,rain,,
4IuYnRJwxCk,30,40,stream,,,
exYUkcrLGdI,70,80,rain,orage,orage,
5zNWv74vr_M,140,150,rain,rain,,
HdTrRQXslhE,350,360,rain,,,
gnf7zkrZAkg,400,410,speech,stream,,
55e4u4QqXMo,80,90,waterfall,stream,,
1ju13oM_jd0,30,40,speech,stream,,
S38pF1kVLYI,310,320,rain,orage,orage,rain
fN3YL613sfQ,10,20,rain,rain,,
5SipCVnsTes,30,40,stream,,,
RYs3VsFeSpA,80,90,rain,orage,orage,
jPwRQNKTwRM,30,40,rain,orage,orage,
UzmtV6A3SYE,70,80,rain,vehicule,,
_YB1mm_UkCA,100,110,rain,vehicule,,
_P-DB961ONs,230,240,ecoulement,stream,,
1VvXTcU5GdA,320,330,ecoulement,stream,,
XS3XCKnV35E,400,410,waterfall,,,
3iTItI2devo,30,40,,stream,,
HgsV9wnY7QU,130,140,rain,,,
3EkHK64-blU,30,40,waterfall,,,
1lYv6RaVwxQ,350,360,rain,orage,orage,rain
ZvGqO6ZCT4I,60,70,stream,,,
NIbvXr81s9c,0,10,rain,orage,orage,rain
__1zYI_2aCg,80,90,ecoulement,speech,stream,
IgQMNeoKmZg,30,40,,speech,stream,
DFbXJXLBmiw,30,40,speech,stream,,
TVtVI_aBYk0,30,40,rain,rain,,
2o4HBcz0t6Q,40,50,rain,orage,orage,
AITimaJodvs,10,20,rain,rain,,
7SWVaDxkhZg,300,310,rain,orage,orage,
Ulqcqp1U32s,160,170,rain,,,
8iawDgbSjO0,29,39,rain,rain,,
aH_GIons4KU,30,40,ecoulement,speech,stream,
5rJKBv5V6T0,110,120,speech,stream,,
8ZFwmXRe_Ps,140,150,rain,rain,,
3JOFPG5pKxs,30,40,stream,,,
1P1YxAYTOLk,30,40,speech,stream,,
BUg6q21DA9A,30,40,rain,rain,,
2Pama1bnrSw,10,20,rain,rain,,
85FLh1HqFds,220,230,waterfall,stream,,
fG-4h9Du68E,330,340,rain,rain,orage,orage
NsOm9Hnk0kE,80,90,rain,speech,,
CLWcxTg132U,100,110,ecoulement,stream,,
nzFpPl64-7k,100,110,stream,,,
nDQ-w306Vo0,10,20,speech,stream,,
t3u3ykowlvs,30,40,rain,rain,rain,
i4R57j7-QH8,30,40,rain,rain,rain,
zH8DLXK3DmA,10,20,waterfall,stream,,
-MY6rcWY_S0,130,140,rain,,,
ARMjPjgjXqo,290,300,,stream,,
7_3s8ef8H0s,30,40,rain,rain,,
0hBObRs5XQk,30,40,speech,stream,,
-bFO14tqaXE,30,40,speech,stream,,
lvfKDoPe7OY,60,70,waterfall,,,
killLXKrh9E,160,170,speech,stream,,
-cE1-JmqWOk,30,40,animal,,,stream
PWaXDK-e87Q,30,40,rain,rain,,
02Uz8iSGywU,30,40,,speech,stream,
PwIZLT6m7e0,0,10,,stream,,
vmUBbqit2O8,30,40,stream,,,
9uihLsBb0wY,540,550,stream,,,
WBxs6g_Shp0,260,270,rain,orage,orage,
w22UoYQE1zM,30,40,rain,rain,,
2UUhcFjDcKk,580,590,rain,speech,,
Z422L8gUZGY,0,10,rain,rain,,
4VEMzwgdvws,30,40,speech,stream,,
1Mem3z-1404,30,40,,,speech,stream
op7HVZDjvu4,40,50,,vehicule,speech,stream
2fTW-uCUe8Y,30,40,,speech,stream,
H19RaejtNBY,50,60,speech,waterfall,,
0xqlixJCGfM,21,31,speech,stream,,
gU9BCS8YpN8,110,120,rain,,,
gp7urcjWsFo,260,270,speech,stream,,
dOqSbUVa9xs,80,90,speech,waterfall,,
2RuQ7wpOzRk,30,40,rain,rain,,
-IsdUU2EGNc,30,40,ecoulement,speech,stream,
Geoi2eJhy5w,50,60,rain,,,
dwio3_WypHE,150,160,,rain,vehicule,car
aLcuT4ddBRY,90,100,ecoulement,stream,,
p0yZ7k1VDB8,10,20,,rain,vehicule,speech
mPVHmrMoTFs,160,170,waterfall,,,
5toLG8XAjKk,70,80,speech,waterfall,,
ZR7bpDbtE2g,90,100,stream,,,
NwXtgBP-_ec,70,80,rain,orage,orage,
lMJHT1ySsMk,0,10,rain,orage,orage,
Dp3eFwfE5JM,210,220,waterfall,stream,,
YrrAK3k1XNg,0,10,stream,,,
sDU0X-GLQHQ,160,170,stream,,,
UN0dFDnzPt4,40,50,stream,,,
3wFTG-FwtlQ,27,37,speech,stream,,
3MfIFWgk2Qk,30,40,waterfall,,,
tctb93LjKnY,400,410,rain,rain,,
1wkT1V9zoNk,11,21,stream,,,
19tCJy7iDic,10,20,,stream,,
oLY-xOHXoL0,30,40,rain,rain,,
IXtBQ7txNEA,300,310,rain,orage,orage,rain
vZ3lXIwT7fw,480,490,rain,rain,,
NEVVJdXpsmA,70,80,rain,,,
N4vB8PO1fuA,80,90,stream,,,
gfxXRH-tV2U,100,110,rain,orage,orage,
8gR0Ar784sg,200,210,,rain,,
uZ0befV3QFo,150,160,rain,,,
j1IyYNebajE,0,10,rain,rain,orage,orage
3Krt71uhCsI,30,40,waterfall,,,
4jPBwbiqR4k,30,40,speech,stream,,
0FDWsTXC620,30,40,rain,rain,,
4WW4AWJIjOs,30,40,speech,waterfall,,
lNtja6ipeoo,180,190,rain,vehicule,car,
5rYrSOks7tY,290,300,stream,,,
aDepy75tt_U,120,130,rain,speech,,
3tiRGsjv3v4,30,40,waterfall,stream,,
5C7T9dc-hdw,0,9,speech,stream,,
A4txcAJfbQ0,0,10,rain,orage,orage,
OjIo-qkVn-g,70,80,rain,rain,,
BxPa2xZBx9g,30,40,rain,rain,,
VbFGzfu04XE,180,190,waterfall,,,
hqhhZatTUNs,0,10,rain,orage,orage,
mnAm6F0MsD4,20,30,waterfall,,,
bRA04w4T0rk,10,20,rain,,,
-lOZ_pTYs2I,30,40,speech,stream,,
1sXibe7jU8A,30,40,rain,rain,,
x-PeY8Yb8M4,300,310,stream,,,
1wPmJWbq_ZI,30,40,waterfall,stream,,
0psR5eGeNCU,30,40,speech,stream,,
H3ZAh0kgyFY,30,40,rain,rain,,
Ep_OfZlEHt8,21,31,waterfall,,,
K_sKPio4c0o,50,60,waterfall,,,
NTRN0-hq9sc,230,240,waterfall,,,
V2SP3dRFUqE,30,40,rain,rain,orage,orage
Ek7nHiwq8kg,110,120,rain,rain,,
RmRw8A0O7Ig,30,40,rain,rain,,
RiHxfxacJ0I,30,40,stream,,,
0GZTtQG4ijI,110,120,rain,,,
TipAghezizo,30,40,rain,rain,,
3R6pxxBceZY,40,50,ecoulement,stream,,
4ygqGD_Sq3o,30,40,,speech,stream,
NUk7iIhieAQ,370,380,rain,,,
KTabDQo1wNU,80,90,stream,,,
GKfs4Aslfmk,30,40,speech,stream,,
xhFSV-RTO0Y,80,90,speech,stream,,
2KBdk_wlnfM,30,40,speech,stream,,
c5VLY_sAIWM,480,490,rain,speech,,
fQyuYGlXe40,160,170,speech,stream,,
-pZNCCwKcak,28,38,rain,rain,,
Jk4jwKSY_4k,280,290,rain,,,
5En8HIFrELY,30,40,,waterfall,,
HH8AEQTCaaM,100,110,speech,stream,,
B3xU24islaA,50,60,rain,speech,,
tVHw1AuoaqU,90,100,rain,orage,,
58jVyup_zRk,30,40,,stream,,
0MnFXcdvPJo,30,40,,waterfall,,
95eYuga9Ddg,22,32,,stream,,
avuQ6Cw2GYk,30,40,rain,rain,,
tMay5gT2T4Y,30,40,rain,rain,,
0BOeMRA404I,70,80,rain,rain,,
2E1p9hcjRxw,30,40,speech,waterfall,,
wsZa2uv-GOI,0,10,waterfall,stream,,
HD6PVjluwr0,0,10,ecoulement,speech,stream,
C1dXq04kxKc,30,40,rain,orage,orage,
2qoP_id5leo,0,6,speech,waterfall,,
S2WgIF_GN20,70,80,waterfall,,,
0GM4U_5ELFQ,160,170,speech,stream,,
PA8Npyz9s1I,100,110,stream,,,
VATwumE0ZiI,160,170,rain,,,
19YroPr1psI,30,40,speech,waterfall,,
1s01YidnKqE,210,220,speech,waterfall,,
zwu6RhBaChw,10,20,rain,orage,orage,rain
2gTqxrutLBw,30,40,stream,,,
UCrB6F59PhY,90,100,waterfall,stream,,
dIsD7DM9FpU,110,120,rain,,,
02yKekhQaC8,12,22,ecoulement,waterfall,stream,
34KE6EaiQrQ,30,40,rain,rain,rain,
H-n2xatx5kQ,110,120,rain,vehicule,,
RSgx3Hytjsg,25,35,speech,stream,,
0ovumST5Js8,30,40,waterfall,stream,,
05FLJw6nljs,30,40,,speech,stream,
DOGr53Y-d0g,17,27,stream,,,
OA368GmCi70,0,10,waterfall,,,
Z1rYn4bHKd0,0,6,rain,,,
5UBLjDc5Ogk,27,37,,speech,stream,
mYoxpzh433Q,20,30,rain,rain,,
e4WQpMlpm4w,20,30,rain,orage,orage,rain
0vprp-OAu6E,220,230,speech,stream,,
B8MrIb8eiT4,430,440,waterfall,,,
gpSrXa5kMls,30,40,rain,orage,orage,rain
6EOrBk1WMLM,10,20,stream,,,
r-FfNl8Ld9k,30,40,rain,orage,orage,rain
BiYlbbdbmTg,90,100,waterfall,,,
pOHfOle91ns,410,420,speech,waterfall,,
a-F2KlcgfRU,230,240,speech,stream,,
2JJkHopBGjU,0,4,waterfall,,,
r5TfA1gPmRY,330,340,speech,stream,,
ZThDHN5SAiQ,0,10,waterfall,,,
-1Il-TZDdUQ,30,40,,speech,stream,
3NPjAdhdB7U,30,40,,speech,stream,
S5H6ij8DY2U,60,70,waterfall,stream,,
ToU1kRagUjY,0,10,,rain,orage,orage
ezNxQB3AWLI,10,20,rain,,,
X5WQtyLhzPI,180,190,rain,rain,,
-PSP1aH-8nI,30,40,speech,stream,,
nsQzXPGiTT4,50,60,,rain,vehicule,car
jdttCixjAxs,10,20,stream,,,
F7n6PiYC8nY,0,10,,rain,orage,
yTlFMCJ2G4I,10,20,rain,,,
-VjIC9m7fcI,160,170,waterfall,,,
a7EOP20sU94,60,70,rain,,,
GYeIDVcvgKA,60,70,stream,,,
2_mph9L7MIw,30,40,speech,stream,,
C_fv4GUVZXk,30,40,speech,stream,,
JVTPub9WISQ,50,60,stream,animal,,
q4_OdUkQAo4,220,230,stream,,,
EQJ7WpIHUqw,130,140,speech,stream,,
UHA2UU8TgAI,410,420,waterfall,,,
ClmQxZ1FmSc,340,350,speech,stream,,
vSdX3qcFnFo,0,10,rain,rain,orage,orage
4j7YXokbxwM,30,40,,speech,stream,
QEVngIRLCQY,220,230,,waterfall,stream,animal
mWLF7eTLI4o,160,170,stream,,,
56fOhbq4VZ8,6,16,,stream,,
M9ROlDY7Le4,50,60,speech,waterfall,,
ciNRbR51RmU,40,50,,speech,stream,
HhXk6waO5K0,350,360,rain,waterfall,,
aURIhOFdHkE,22,32,stream,,,
_RFNY01IjFc,70,80,rain,orage,rain,
MCJqq3uqLdU,80,90,speech,waterfall,,
TzNxtUvFrmA,30,40,ecoulement,stream,,
quZFkZyX_wc,280,290,stream,,,
sesJOSAu41Y,10,20,rain,orage,orage,rain
f4BDxEci8Nk,40,50,ecoulement,ecoulement,stream,
YYlL6TFt3yk,30,40,speech,stream,,
tMSBMT-qvfk,0,10,rain,orage,orage,
4YqeBt5KJ_Y,30,40,stream,,,
2cHaZxzHX44,30,40,stream,,,
4GGWDYT_vYM,0,10,rain,,,
FqwPXt4UcT4,30,40,,stream,,
Wm4GbzUUdL4,80,90,rain,speech,,
_nagWDng0mo,30,40,rain,,,
7Tqm9sSzYt8,40,50,stream,,,
fD3SanXDIyw,20,30,waterfall,,,
ES6uOsjPUoA,130,140,rain,rain,orage,orage
-MGJvkOzwX8,30,40,,stream,,
2_9hG8u7Dsk,30,40,rain,,,
zXm-MU32gIQ,50,60,rain,vehicule,,
E9j9Jx-nF2I,30,40,stream,,,
5LoYaKPyA88,30,40,speech,stream,,
yRUa4Ab9Kis,230,240,ecoulement,ecoulement,speech,stream
y_5EC-tGuGQ,30,40,waterfall,,,
olCYaSmYIfU,250,260,rain,orage,orage,
4G43BFasXP8,350,360,rain,,,
rK6oMZf2TKY,0,10,stream,,,
-COXAwmZkyI,30,40,speech,waterfall,stream,
10S3WNwqBHo,0,9,rain,rain,,
9VZX8HU-BRA,120,130,ecoulement,speech,stream,
oFjmzFTtqn0,50,60,rain,vehicule,car,
_759fQPP7zk,150,160,rain,,,
BLqV1tGQEes,310,320,rain,rain,,
5J9W5SRJ7zk,30,40,rain,rain,,
3epeaXqHgkw,30,40,rain,orage,rain,
tGEN4sspzDY,140,150,stream,,,
9E7GiRH8Stw,470,480,stream,,,
1atSr674Wgs,40,50,stream,,,
ypQYtYMhs8A,350,360,rain,rain,,
HwqGioNgMEw,16,26,rain,,,
BWoLJ9ZAWHQ,30,40,rain,rain,,
5gkj61MMB0M,30,40,rain,,,
1BJXDPPDc1M,0,10,stream,,,
-vYNPoTQXnY,30,40,speech,stream,,
4d0fMCQzabs,30,40,speech,stream,,
fGmZ64Wn2bQ,430,440,stream,,,
oV6I76MC4ZM,140,150,speech,stream,,
2p_8PWxG9dw,30,40,stream,,,
Fdhpn7_jzDk,190,200,stream,,,
kP8Wbn8YoZM,30,40,waterfall,,,
-HBvxxKEWrI,30,40,speech,stream,,
-BUWGM7qeUM,10,20,rain,,,
1ttSwzJP5y0,4,14,stream,,,
ZVdJbjhrwzA,10,20,rain,orage,orage,
6lHfOvyTEu0,30,40,speech,stream,,
vmP6peozTe0,70,80,rain,orage,,
U2Wr-eeGLVs,220,230,waterfall,,,
XamQAY_WXRY,140,150,stream,,,
9ZNZsIfl8ec,30,40,rain,,,
8-Q8jt_-mvA,30,40,rain,rain,,
AIWZHeevP5A,320,330,rain,,,
cxVsUQ6O2Sg,130,140,stream,,,
BlGB75_IQp8,24,34,rain,rain,orage,orage
2xYHxs_mKe8,450,460,rain,rain,,
xGzpK8xOJj8,280,290,,,rain,orage
MJdDponNTNU,30,40,stream,,,
dEG9Y1-HXQU,210,220,rain,,,
X5lzl_iXY_c,320,330,,waterfall,stream,
2xDa0Ctv0Ec,30,40,speech,stream,,
O8HyTvbaA0A,30,40,speech,stream,,
vcF71Z55SSI,70,80,waterfall,stream,,
2VDyWTKKKTs,60,70,rain,rain,,
Tc3Urf-moyk,80,90,,rain,vehicule,car
M2ZQ0ZSMciw,30,40,rain,,,
coHReK2cBL0,320,330,rain,rain,rain,
dnq1K_GrM34,200,210,rain,orage,rain,
ekqc2GJmgro,0,10,rain,,,
ZqqJQnKhvJA,30,40,rain,rain,,
uQpyOsW2xrI,100,110,waterfall,stream,,
xwBUvbi2DR4,20,30,speech,waterfall,,
2WMjBJz7iyQ,30,40,stream,,,
HNcZJVa1KrA,430,440,rain,rain,rain,
EQxLc4oDpgA,150,160,waterfall,stream,,
j5mhNd2YFYc,140,150,waterfall,stream,,
4i21pPtahz0,30,40,speech,stream,,
kwpmDAAv5qQ,140,150,speech,waterfall,,
qZ1R9edTY_M,130,140,speech,stream,,
LTXNc-_DoeE,30,40,rain,,,
cmmCodcMgkQ,20,30,rain,rain,,
7-TrCBG0qRY,30,40,rain,rain,,
LZMHi1ZyVo4,30,40,rain,rain,orage,rain
npbwcincPa4,0,10,rain,orage,orage,
Vjkh-rtOKvU,100,110,rain,vehicule,,
DBdn8qywpQg,110,120,rain,,,
5HqR92CL7fU,7,17,speech,stream,,
ARrkWYRpOh8,30,40,,vehicule,speech,stream
4ELXnFHXHiQ,22,32,,speech,stream,
ajDBYcZXQy8,90,100,rain,rain,rain,
6bOodb5R2Sc,0,10,stream,,,
rxcpuPn5woA,0,10,speech,waterfall,,
3hkns-adtTs,20,30,stream,,,
z4MzUb7gBC8,10,20,speech,waterfall,,
-cb0NHSQ5B4,30,40,,speech,stream,
iQfUYZPeBRk,60,70,rain,rain,,
3uK_uMQKtj8,30,40,speech,stream,,
1WGMba5OXV0,30,40,,speech,stream,
jMWbZUVmkdU,80,90,stream,,,
ia9dRwK2u8A,50,60,splash,speech,stream,
40b8ORdNBdc,70,80,stream,,,
1mO14cQ5kpk,30,40,rain,rain,,
fqvPcxS5fuE,30,40,speech,waterfall,,
3q_3rgMrAB8,16,26,,waterfall,,
2zh0D6iidrw,30,40,waterfall,,,
aoJ9P5IatjU,150,160,rain,orage,orage,
1wPmJWbq_ZI,30,40,waterfall,stream,,
bnJbnN9C-NI,120,130,rain,rain,orage,orage
aw71fn-qmTs,70,80,stream,,,
_lUslkQ8D5Y,10,20,splash,speech,stream,
8HjsSFbuki4,360,370,rain,vehicule,car,
AeKvc10TUD4,30,40,stream,,,
cWoBZQMUc0w,30,40,rain,rain,,
OX_iveU39CE,100,110,speech,stream,,
wQBSIFfXmGo,20,30,stream,,,
3WmOZE00U7g,30,40,speech,stream,,
64QiYWZiE0o,0,10,rain,orage,orage,rain
w2uNCnrhTbY,160,170,speech,stream,,
jYXd_BtFhmw,260,270,,rain,speech,
70xeRO1BILw,50,60,stream,,,
gobXZ7O40ok,170,180,waterfall,,,
SPD7dfBWolc,110,120,stream,,,
D34F7gT6wyk,0,10,rain,rain,rain,
AmrEdMAkrDo,20,30,,ecoulement,speech,stream
hg__ORMvZhs,240,250,stream,,,
0GVecvj0-VQ,30,40,,waterfall,,
qQI8w-RIXJo,20,30,,stream,,
22Hq-UYEQt4,30,40,waterfall,,,
_jWOq3bZvYg,30,40,rain,rain,,
icc7p_zaPdA,10,20,,waterfall,,
f2wy35V86Bw,20,30,waterfall,,,
5TVei6Z5meE,50,60,splash,speech,stream,
eV3xxM-Kfxc,130,140,rain,orage,orage,
08ifQSdjwpE,30,40,speech,stream,,
4wAWu4g0wRQ,6,16,speech,stream,,
-tf1RwRbKDA,17,27,stream,,,
iI7ZJZutUCw,10,20,ecoulement,stream,,
KjRE7MS5rzo,100,110,stream,,,
3Gc8iEAZgwk,0,10,ecoulement,ecoulement,stream,
-owkB4ulvTU,22,32,speech,waterfall,,
kDjhokx5wmM,10,20,rain,rain,orage,orage
atnRGU2lopI,30,40,rain,rain,,
o13U6bOyiHY,0,10,rain,orage,orage,rain
UEGjxLZPFNc,10,20,speech,stream,,
DN-hso_voeI,30,40,rain,rain,,
dY4y6SantZ4,0,10,ecoulement,waterfall,,
-6vbayl8fE0,30,40,speech,stream,,
fHZCEsKpdUk,90,100,waterfall,,,
v9oZvockKV0,40,50,rain,orage,orage,
bo5WKJbuhmQ,16,26,rain,rain,,
3mXQxwzGCf4,0,10,stream,,,
Nj0CjeRkWDo,160,170,rain,orage,,
D6Zjieerjgc,240,250,speech,stream,,
T3f3Y-eO7Bo,30,40,rain,orage,orage,
i0PSm7WfQnQ,0,10,rain,,,
51cdqXLoFV0,30,40,waterfall,,,
-XVOFBNSAms,10,20,,rain,vehicule,
eTaaBEx8Uz0,10,20,rain,rain,rain,
guV7LQwVgKg,10,20,rain,orage,orage,
PlyMDOWl4a4,30,40,rain,,,
4aDtICkkrqg,290,300,rain,rain,orage,orage
s-Cm7CH3I1k,80,90,stream,,,
_Z4x1ZgYUEI,30,40,rain,rain,,
RkcXbiGZf6w,490,500,rain,orage,orage,
pcD_VcxkOvI,510,520,stream,,,
GhczhkuOEiU,70,80,rain,vehicule,car,
tCqEARMI-_k,250,260,rain,rain,,
BMrDddLb5Kg,0,10,rain,orage,orage,rain
--RBwc_VFYA,30,40,rain,rain,,
K66Hw_iDHz8,10,20,rain,rain,rain,
7YKryXRTrV4,0,10,rain,vehicule,car,
frkM14bMz5I,40,50,waterfall,,,
-TLmyNSE3NA,30,40,speech,stream,,
t8Mw8X6BxXA,20,30,waterfall,,,
CJ_fiUcgZFI,150,160,rain,speech,,
-u885X_j1KQ,30,40,,stream,,
4j0Xw4dD7ns,30,40,speech,stream,,
t18MIg8ukdg,110,120,stream,,,
z0jIEaLkbp0,50,60,stream,,,
RYdSmP6pUMM,0,10,ecoulement,stream,,
zOhWBlir2iA,140,150,rain,rain,,
6TrHR_Unihc,30,40,rain,rain,rain,
GHJvsVYqkIU,0,10,speech,waterfall,,
UH8OQF7cCMw,110,120,rain,rain,orage,orage
cMSjbJ4TY68,20,30,rain,rain,rain,
KtLL_mTnm2Y,130,140,rain,,,
jBWXILcP8fA,10,20,speech,waterfall,stream,
ZDhtIVrHCZ4,30,40,rain,orage,orage,rain
8GiCArNaqwo,30,40,rain,rain,,
r3FrVv1qr28,30,40,rain,orage,orage,
Yk274Wr5iIE,60,70,rain,,,
WxehtrvdtXo,30,40,rain,vehicule,speech,
y1v41zz2f5k,30,40,,stream,,
1dEcQWe0lTw,30,40,speech,stream,,
dKTjzQoa_1U,20,30,rain,,,
0EhV4zJk9V8,150,160,waterfall,stream,,
YieSeZKERus,50,60,rain,speech,,
AklFn4DXuwQ,30,40,rain,rain,,
t5Z2vRn47xQ,390,400,rain,rain,,
yALxVuX7DlA,430,440,stream,,,
_HL2ergI5-Q,30,40,ecoulement,speech,stream,
c1ViZAYvm2Y,60,70,speech,waterfall,,
FVjLGO2obHs,120,130,rain,rain,rain,
8K6HEgle8xw,30,40,rain,rain,rain,
4SjDMwc9Jic,30,40,speech,waterfall,stream,
hkhkeamD7jA,260,270,rain,rain,,
9dAgaXnseC4,80,90,rain,,,
Xlgx6LOP5PU,10,20,stream,,,
dBiY-l9-jaA,80,90,rain,rain,orage,orage
f7IB4-RgSdI,450,460,waterfall,stream,,
DFq-XBL9hng,0,10,rain,vehicule,,
tcdBRncUHb4,30,40,rain,rain,,
aJ4pqLAcjEc,570,580,rain,vehicule,,
cu8Dx0ggQlA,0,10,stream,,,
U5A9VhWqccg,570,580,,rain,vehicule,speech
29yk9TB3ChM,30,40,,speech,stream,
YTuu1ZR8JWc,150,160,speech,stream,,
eLb3MB-zB00,50,60,rain,vehicule,,
dn-HmZeRRts,0,10,rain,orage,orage,
4vqMJOpLQtQ,150,160,waterfall,,,
--0PQM4-hqg,30,40,,waterfall,stream,
Ol9WD6yVkVk,140,150,waterfall,,,
NpKmwH9O4ZY,30,40,ecoulement,stream,,
TDxjU4XIZy4,160,170,rain,,,
kQm95IMPoIE,20,30,speech,stream,,
4CLwC4rHmk4,30,40,rain,rain,,
EezGnSpoxQw,30,40,rain,orage,orage,rain
EvnIpJnrL0c,2,12,speech,waterfall,,
4b6-LN_x4xk,12,22,stream,,,
KFTBLnfOWOE,10,20,,vehicule,speech,stream
2_zPUblkg0g,30,40,speech,waterfall,,
E6LL9AGftwg,70,80,ecoulement,waterfall,,
H7Z2sK-PWgY,70,80,waterfall,stream,,
CsDG-DqsXfA,30,40,rain,rain,rain,
mCNpAwGRUWQ,50,60,waterfall,,,
7Bf4HomeqFU,330,340,rain,rain,rain,
Zs1U9NntcfI,180,190,stream,,,
1uyBnGxh_14,70,80,stream,,,
23AkfntUnV8,30,40,waterfall,stream,,
FxQPQrclApE,80,90,rain,rain,orage,orage
GXG5pu03jxQ,30,40,rain,,,
Aq8xcaUVRrU,30,40,rain,,,
UASzADvZnUA,30,40,rain,rain,,
arHnwKfh9rs,520,530,rain,orage,orage,
nsphYWrvcLM,30,40,rain,,,
